text,label,source,notes
"Become a Bitcoin investment associate. Manage small portfolios. Earn 20% weekly. Minimum: $1,000. Returns paid every Friday. Your capital is protected by our insurance fund. Contact us on Telegram.",1,telegram,investment_scam
"Make money online with our copy-paste program. Copy ads, paste them on websites, earn $50 per approved ad. Work 2 hours daily. No experience. Email us at workfromhome.jobs@gmail.com to apply.",1,email,fake_remote_free_email
"Freelance Photographer (Contract, Lagos/Abuja). Events management company needs photographers for corporate events and product shoots. Pay: ₦50,000-₦150,000 per event based on duration. Portfolio required. No registration fee. Email samples to bookings@[company].com. We contact you when events come up in your city.",0,facebook,legit_freelance
PHOTOSALES: Upload photos to our platform and earn $200 daily. No camera needed — use your phone. Pay $15 access fee to unlock your earnings account. Telegram: @photosales2024,1,telegram,advance_fee
"Electrician, Ibadan: Electrical contracting company needs qualified electricians for residential and commercial installations. City and Guilds or Trade Test Certificate required. 3+ years post-certification experience. Daily rate: ₦9,000. Consistent work guaranteed. Call Engr. Adebisi: 08055559999.",0,newspaper,legit_informal_trade
"Social media influencer assistant job: Like, follow and comment on posts for our clients. Earn ₦5,000 per task set. No experience required. Fund your account with ₦3,000 to start receiving tasks.",1,whatsapp,task_scam
"Lagos State Government Youth Empowerment: You qualify for our ₦500,000 grant. To receive funds, pay ₦10,000 processing and documentation fee to our desk officer. Hurry — funds expire Friday.",1,whatsapp,govt_impersonation
"Graphic Designer, Insight BBDO, Lagos. HND/B.Sc in Graphic Design or Fine Art. 3+ years advertising agency experience. Proficient in Adobe Creative Suite. Impressive portfolio required. Salary: ₦200,000-₦300,000/month. Email portfolio and CV to hr@insightbbdo.com.",0,company_website,legit_advertising_nigeria
"HOSPITAL CLEANER/PORTER, Germany: Earn €2,000/month. Language not required. Accommodation provided. Process: Pay ₦180,000 placement fee → receive job letter → apply for visa. Slots: 12 remaining.",1,facebook,visa_scam
"Nurse, Eko Hospitals, Lagos. Minimum RN qualification. Valid NMCN annual practising licence. 2+ years clinical nursing experience. Shift-based schedule. Salary: ₦120,000-₦160,000/month plus allowances. Walk-in applications accepted at HR department Monday-Friday 9am-4pm.",0,newspaper,legit_hospital_nigeria
"We are recruiting 50 HOME TYPISTS for our Lagos office. Earn ₦25,000 per batch. Send your name and phone number then pay ₦2,000 activation fee via transfer to 0123456789 GTB. Start same day!",1,facebook,advance_fee
"Online Tutor (Part-time, Remote). Reputable EdTech company needs qualified tutors for secondary school students. Subjects: Mathematics, Physics, Chemistry. Salary: ₦3,500-₦5,000 per session. Requirements: B.Sc in relevant subject, teaching experience. Apply at [edtech].com/tutors. No registration fee. Background verification required before onboarding.",0,company_website,legit_edtech
"Software Developer, Interswitch Group, Lagos/Hybrid. 3+ years experience in Java or Python. Knowledge of payment systems an advantage. Competitive compensation package including health insurance and stock options. Apply at interswitch.com/careers. Full interview process: screening → technical test → panel interview.",0,linkedin,legit_fintech_nigeria
"Electrical Engineer, Julius Berger Nigeria Plc, project-based. B.Eng Electrical or Mechanical Engineering. 5+ years construction or civil engineering project experience. COREN registered preferred. Apply with full credentials to recruitment@julius-berger.com.",0,company_website,legit_construction_nigeria
"Canadian government is recruiting 5,000 Nigerians for permanent residence and employment visa. Salary: CAD $6,000/month. No qualification. Apply now. Processing fee: ₦150,000. Limited slots!",1,facebook,visa_scam
Data Labelling Specialist: Label AI training images and earn $0.05 per image. Fast workers earn $150-$300/day. Fund your label wallet with $50 to unlock premium tasks. Telegram: @labelworkers,1,telegram,task_scam_wallet
"Business Development Manager, MTN Ghana, Accra. BSc Business, Marketing or Engineering. 5+ years telecom or technology sector BD experience. Excellent knowledge of Ghanaian B2B market. Apply at mtn.com.gh/careers. Salary and benefits competitive with telecom industry benchmarks.",0,company_website,legit_telecom_ghana
"Work from home Logistics Coordinator: Receive packages at your residential address. Repack and ship to our UK/US warehouse. Earn ₦30,000 per parcel processed. No experience. 5 parcels per week max.",1,email,reshipping
Google Map reviewer job — help businesses boost their Google ratings. Earn $15 per review set. Work 2 hours daily. Deposit $75 into your reviewer account to unlock tasks. Telegram only.,1,telegram,task_scam
"MYSTERY SHOPPER JOB: Evaluate customer service at banks and shops near you. You will receive a cheque for ₦500,000 via courier. Cash it at your bank. Keep ₦80,000 as your fee. Send the remainder via transfer.",1,email,mystery_shopper_cheque
"Forex Trading Analyst — work remotely. We provide signals, you execute trades. Earn $200-$500 daily. Start with $300 trading capital in your account. Training provided. WhatsApp: +44 7700 900xxx",1,whatsapp,investment_scam
"Frontend Engineer, Paystack (Stripe company), Lagos/Remote. 3+ years React and TypeScript experience. Experience building consumer-facing financial products preferred. Salary: $40,000-$60,000/year. Apply via paystack.com/careers. Our process: application → technical screen → take-home project → final interview.",0,company_website,legit_fintech_nigeria
"NIRSAL/BOI Loan Recovery Agent: Help us recover overdue loans. Earn 10% commission per recovery. First pay ₦7,500 training and accreditation fee. Work fully remote. Apply now.",1,email,advance_fee
Wire transfer coordinator: Our company cannot maintain a Nigerian bank account due to sanctions. We need a local representative to receive and forward international wire transfers. 9% commission. Email CV.,1,email,money_mule
"Geologist, Seplat Energy, Lagos. B.Sc Geology or Geosciences. Minimum 5 years upstream oil and gas experience. Proficiency in Petrel or Kingdom software an advantage. Competitive expatriate-equivalent package for Nigerian nationals. Apply via seplatenergy.com/careers.",0,company_website,legit_oilandgas_nigeria
Work as a secret evaluator for supermarkets and hotels. We will send you a bank draft. Cash it. Keep your payment ($300) and send the rest back via MoneyGram to rate the Western Union service. Email us.,1,email,mystery_shopper_cheque
"NNPC Internship Letter: Dear applicant, to receive your offer letter and allowance setup form, kindly provide your bank BVN, full account details and international passport number to our HR department.",1,email,phishing_identity
PAYMENT PROCESSOR wanted: Our international clients need to make payments in Nigeria. Receive money into your account and transfer to our company's account. Earn 10% per transaction. No capital needed.,1,email,money_mule
"Operations Manager, Jumia Ghana, Accra. B.Sc Business Administration or Logistics. 5+ years e-commerce or supply chain operations experience. Strong leadership skills. Competitive salary package. Email CV to ghoperations@jumia.com. Only shortlisted applicants contacted within 10 business days.",0,company_website,legit_ecommerce_ghana
"Forever Living distributor needed in Lagos: Purchase your entry-level product pack (₦55,000). Earn retail profit on every product sold. Build your team and earn residual income. FLP has paid over $2.3B in bonuses.",1,facebook,mlm
"International transfer agent: Assist our overseas partners process local payments. Receive SWIFT transfers, deduct 8% as your fee, transfer remainder via MoneyGram. Fully legitimate. Email us.",1,email,money_mule
"ARTISTE MANAGER JOB: Manage upcoming recording artistes. No experience needed. Earn 20% of all gigs booked. Pay ₦25,000 for your artiste management portal access and training materials.",1,instagram,advance_fee
"INEC Ad Hoc Staff Selection 2023: You have been selected. To confirm your slot pay ₦3,000 commitment fee to 0987654321 First Bank. Failure to pay means your slot goes to the next candidate.",1,whatsapp,govt_impersonation
"RECHARGE CARD PRINTING BUSINESS: We will train you to print recharge cards at home and sell to retailers. Earn ₦150,000 weekly. Training fee: ₦12,000. Equipment provided after payment. DM us.",1,whatsapp,advance_fee_fake_business
"GTBank/Access Bank car branding promotion: Place our decal on your car for 3 months. Earn ₦50,000 monthly + fuel allowance. First pay ₦8,000 processing fee to our field agent. Reply YES to proceed.",1,sms,car_wrap_scam
"Customer Support Specialist (Remote, Nigeria). Chipper Cash is hiring support agents to handle customer inquiries. Requirements: Excellent written English, 1+ year customer service experience. Salary: $800-$1,200/month. Apply at chippercash.com/careers. Background check required before offer.",0,company_website,legit_remote_fintech
"Technical Writer (Remote). African fintech company seeks Technical Writer to document APIs and internal tools. Requirements: 2+ years technical writing experience, familiarity with REST APIs and Markdown. Salary: $1,500-$2,500/month. Submit writing samples and CV to docs-jobs@[company].com. Video interview process.",0,linkedin,legit_remote_technical
"Work from home and earn ₦300,000 monthly! No skills needed. No experience. No qualification. 18+ only. All you need is a smartphone and internet access. Send your full name to join our team today.",1,whatsapp,fake_remote_vague
"Npower Batch D shortlisted candidates should note that a clearance fee of ₦5,000 must be paid to process your deployment letter. Pay to account: 1234567890 UBA. Deadline: 48 hours.",1,email,advance_fee_impersonation
"Make ₦200,000 weekly from home watching YouTube videos and answering simple questions. Legit opportunity. 100% free to start. Click link to register. First payment in 24 hours. 🔥🔥🔥",1,facebook,fake_remote_task
"Product Designer (Remote, Nigeria/Kenya). Health-tech startup (Series A, YC-backed) seeks a mid-level Product Designer. Figma proficiency required. 3+ years product design experience. Salary: $2,000-$3,500/month. Apply via jobs.ashbyhq.com/[company]. Portfolio review → design challenge → culture interview.",0,linkedin,legit_remote_startup
"Tailor/Fashion Designer, Aba Garment District: Small export-focused garment company seeks experienced tailors for uniform production. 3+ years experience in bulk garment production. Salary: ₦80,000/month + overtime. Interview at our Aba factory. Bring samples of previous work.",0,facebook,legit_informal_aba
"Online Rating Agent: We need people to rate insurance companies and banks. Each rating pays ₦2,500. Complete 20 per day. Load ₦10,000 into your task wallet before you can withdraw your earnings.",1,facebook,task_scam
"UK company urgently needs Nigerian cleaners and security guards. Earn £2,500/month. Accommodation provided. All you need to do is pay ₦250,000 for your visa and flight ticket processing. Contact us today.",1,whatsapp,visa_scam
"Data Analyst, Equity Bank Kenya, Nairobi. B.Sc Statistics, Mathematics or Computer Science. 2+ years data analysis experience. Proficient in SQL, Power BI or Tableau. Salary: KES 120,000-180,000/month. Apply via equitybankgroup.com. Formal interview process will follow shortlisting.",0,company_website,legit_banking_kenya
"FEMALE PERSONAL ASSISTANT TO AMERICAN CEO: Work remotely. Answer emails and schedule meetings. Salary: $5,000/month. No CV required. No interview. Chat with our director on WhatsApp to start immediately.",1,facebook,fake_remote
"N-Power batch E: Your application has been approved. To receive your ₦30,000 monthly stipend, send your BVN and ATM card details to our disbursement officer. This is an official government communication.",1,whatsapp,govt_impersonation_phishing
Data Scientist position. Fintech startup (Series B). Remote. Must be comfortable with Python and SQL. Competitive pay. Note: All candidates must pay $150 pre-employment assessment fee via bank transfer before test date.,1,email,advance_fee_professional_looking
"Store performance evaluation agent: Visit 3 stores per week. We cover all costs. You will receive upfront payment of $2,500. Keep $400 for your work and use the rest to purchase prepaid gift cards to test payment systems.",1,email,mystery_shopper_giftcard
"Caregiver position in Canada. Salary: CAD $18/hour. Employer will sponsor work permit. Requirements: Basic English, caring attitude. Pay ₦200,000 visa processing fee to our accredited agency in Lagos.",1,whatsapp,visa_scam_healthcare
"Part-time assistant: Help our overseas director manage his diary, answer WhatsApp messages and make simple transfers. Salary: $4,000 monthly wired to your account. No formal interview. Start on Monday.",1,email,fake_remote_money_mule
Financial assistant needed: Receive payments from our US clients into your Nigerian bank account. Withdraw cash and send via Western Union to our accounts abroad. Earn 12% per transaction. Flexible hours.,1,whatsapp,money_mule
